	-----Compress Huffman-----
1) 40.125 sec
2) 40.062 sec
3) 40.078 sec
4) 40.032 sec
5) 40.064 sec
6) 40.14 sec
7) 40.967 sec
8) 40.047 sec
9) 40.074 sec
10) 40.06 sec
11) 40.032 sec
	File: data/7.jpg LZ775
1) 39.609 sec
2) 39.503 sec
3) 39.656 sec
4) 39.5 sec
5) 39.469 sec
6) 39.484 sec
7) 39.469 sec
8) 39.5 sec
9) 39.5 sec
10) 39.485 sec
11) 39.484 sec
	File: data/8.bmp LZ775
1) 30.579 sec
2) 30.281 sec
3) 30.281 sec
4) 30.25 sec
5) 30.297 sec
6) 30.266 sec
7) 30.283 sec
8) 30.263 sec
9) 30.25 sec
10) 30.266 sec
11) 30.266 sec
	File: data/9.bmp LZ775
1) 2.328 sec
2) 2.313 sec
3) 2.297 sec
4) 2.296 sec
5) 2.313 sec
6) 2.297 sec
7) 2.312 sec
8) 2.297 sec
9) 2.297 sec
10) 2.297 sec
11) 2.297 sec
	File: data/10.csv LZ775
1) 1.734 sec
2) 1.703 sec
3) 1.719 sec
4) 1.719 sec
5) 1.719 sec
6) 1.703 sec
7) 1.718 sec
8) 1.719 sec
9) 1.719 sec
10) 1.719 sec
11) 1.703 sec
	File: data/1.txt LZ7710
1) 34.438 sec
2) 34.406 sec
3) 34.417 sec
4) 34.452 sec
5) 34.437 sec
6) 34.469 sec
7) 34.453 sec
8) 34.453 sec
9) 34.472 sec
10) 34.437 sec
11) 34.427 sec
	File: data/2.docx LZ7710
1) 71.813 sec
2) 71.782 sec
3) 71.816 sec
4) 72.136 sec
5) 71.766 sec
6) 71.734 sec
7) 71.766 sec
8) 71.765 sec
9) 71.762 sec
10) 71.844 sec
11) 71.781 sec
	File: data/3.pptx LZ7710
1) 68.276 sec
2) 67.919 sec
3) 67.782 sec
4) 67.652 sec
5) 67.75 sec
6) 67.704 sec
7) 67.718 sec
8) 67.735 sec
9) 67.67 sec
10) 67.859 sec
11) 67.735 sec
	File: data/4.pdf LZ7710
1) 70.375 sec
2) 70.015 sec
3) 69.989 sec
4) 69.953 sec
5) 70.007 sec
6) 70.157 sec
7) 70.156 sec
8) 70.094 sec
9) 70.125 sec
10) 70.093 sec
11) 70.125 sec
	File: data/5.dll LZ7710
1) 28.016 sec
2) 27.984 sec
3) 27.985 sec
4) 27.937 sec
5) 27.906 sec
6) 27.969 sec
7) 28.406 sec
8) 28 sec
9) 27.906 sec
10) 27.938 sec
11) 27.906 sec
	File: data/6.jpg LZ7710
1) 71.791 sec
2) 71.547 sec
3) 71.515 sec
4) 71.456 sec
5) 71.822 sec
6) 71.532 sec
7) 72.999 sec
8) 71.514 sec
9) 71.435 sec
10) 71.51 sec
11) 71.563 sec
	File: data/7.jpg LZ7710
1) 70.699 sec
2) 70.45 sec
3) 70.4 sec
4) 70.433 sec
5) 70.437 sec
6) 70.484 sec
7) 70.401 sec
8) 70.375 sec
9) 70.375 sec
10) 70.338 sec
11) 70.486 sec
	File: data/8.bmp LZ7710
1) 49.984 sec
2) 49.984 sec
3) 49.954 sec
4) 50 sec
5) 49.984 sec
6) 50.031 sec
7) 49.969 sec
8) 49.984 sec
9) 49.969 sec
10) 49.905 sec
11) 50.218 sec
	File: data/9.bmp LZ7710
1) 2.735 sec
2) 2.422 sec
3) 2.406 sec
4) 2.406 sec
5) 2.418 sec
6) 2.422 sec
7) 2.407 sec
8) 2.422 sec
9) 2.406 sec
10) 2.406 sec
11) 2.422 sec
	File: data/10.csv LZ7710
1) 2.969 sec
2) 2.922 sec
3) 2.922 sec
4) 2.922 sec
5) 2.937 sec
6) 2.922 sec
7) 2.922 sec
8) 2.922 sec
9) 2.922 sec
10) 2.922 sec
11) 2.937 sec
	File: data/1.txt LZ7720
1) 60.246 sec
2) 60.219 sec
3) 60.123 sec
4) 60.155 sec
5) 60.235 sec
6) 60.154 sec
7) 60.17 sec
8) 60.156 sec
9) 60.172 sec
10) 60.153 sec
11) 60.203 sec
	File: data/2.docx LZ7720
1) 130.373 sec
2) 130.078 sec
3) 130.013 sec
4) 131.551 sec
5) 131.948 sec
6) 130.5 sec
7) 130.032 sec
8) 130.015 sec
9) 130 sec
10) 130.09 sec
11) 129.922 sec
	File: data/3.pptx LZ7720
1) 121.75 sec
2) 121.672 sec
3) 121.593 sec
4) 121.678 sec
5) 121.62 sec
6) 121.593 sec
7) 121.646 sec
8) 121.641 sec
9) 121.724 sec
10) 121.719 sec
11) 121.75 sec
	File: data/4.pdf LZ7720
1) 127.192 sec
2) 127.001 sec
3) 126.906 sec
4) 126.984 sec
5) 127.094 sec
6) 127.031 sec
7) 126.938 sec
8) 126.922 sec
9) 126.953 sec
10) 126.953 sec
11) 126.866 sec
	File: data/5.dll LZ7720
1) 50.14 sec
2) 49.86 sec
3) 49.75 sec
4) 49.7 sec
5) 49.718 sec
6) 49.703 sec
7) 49.704 sec
8) 49.718 sec
9) 49.703 sec
10) 49.719 sec
11) 49.719 sec
	File: data/6.jpg LZ7720
1) 129.78 sec
2) 135.881 sec
3) 136.273 sec
4) 131.727 sec
5) 129.015 sec
6) 135.041 sec
7) 136.243 sec
8) 136.032 sec
9) 136.145 sec
10) 131.381 sec
11) 129.014 sec
	File: data/7.jpg LZ7720
1) 126.859 sec
2) 126.847 sec
3) 126.985 sec
4) 126.922 sec
5) 126.812 sec
6) 126.844 sec
7) 127.922 sec
8) 127.766 sec
9) 127.09 sec
10) 127.013 sec
11) 127.321 sec
	File: data/8.bmp LZ7720
1) 87.734 sec
2) 88.297 sec
3) 87.766 sec
4) 87.703 sec
5) 87.683 sec
6) 87.532 sec
7) 87.554 sec
8) 87.677 sec
9) 87.604 sec
10) 87.623 sec
11) 87.604 sec
	File: data/9.bmp LZ7720
1) 2.625 sec
2) 2.594 sec
3) 2.609 sec
4) 2.625 sec
5) 2.594 sec
6) 2.609 sec
7) 2.594 sec
8) 2.625 sec
9) 2.61 sec
10) 2.609 sec
11) 2.609 sec
	File: data/10.csv LZ7720
1) 5.313 sec
2) 5.249 sec
3) 5.25 sec
4) 5.25 sec
5) 5.235 sec
6) 5.25 sec
7) 5.265 sec
8) 5.25 sec
9) 5.469 sec
10) 5.344 sec
11) 5.406 sec
	-----Decompress LZ77-----
	File: data/compressed/1.lz775 LZ77
1) 0.375 sec
2) 0.312 sec
3) 0.328 sec
4) 0.328 sec
5) 0.313 sec
6) 0.328 sec
7) 0.312 sec
8) 0.313 sec
9) 0.375 sec
10) 0.328 sec
11) 0.328 sec
	File: data/compressed/2.lz775 LZ77
1) 0.5 sec
2) 0.563 sec
3) 0.453 sec
4) 0.453 sec
5) 0.453 sec
6) 0.453 sec
7) 0.453 sec
8) 0.453 sec
9) 0.454 sec
10) 0.468 sec
11) 0.453 sec
	File: data/compressed/3.lz775 LZ77
1) 0.422 sec
2) 0.532 sec
3) 0.437 sec
4) 0.422 sec
5) 0.453 sec
6) 0.438 sec
7) 0.437 sec
8) 0.422 sec
9) 0.437 sec
10) 0.422 sec
11) 0.438 sec
	File: data/compressed/4.lz775 LZ77
1) 0.437 sec
2) 0.61 sec
3) 0.437 sec
4) 0.438 sec
5) 0.437 sec
6) 0.438 sec
7) 0.437 sec
8) 0.438 sec
9) 0.437 sec
10) 0.438 sec
11) 0.437 sec
	File: data/compressed/5.lz775 LZ77
1) 0.328 sec
2) 0.297 sec
3) 0.312 sec
4) 0.297 sec
5) 0.297 sec
6) 0.297 sec
7) 0.312 sec
8) 0.297 sec
9) 0.297 sec
10) 0.297 sec
11) 0.313 sec
	File: data/compressed/6.lz775 LZ77
1) 0.453 sec
2) 0.593 sec
3) 0.438 sec
4) 0.453 sec
5) 0.438 sec
6) 0.453 sec
7) 0.437 sec
8) 0.469 sec
9) 0.453 sec
10) 0.438 sec
11) 0.453 sec
	File: data/compressed/7.lz775 LZ77
1) 0.437 sec
2) 0.547 sec
3) 0.438 sec
4) 0.437 sec
5) 0.438 sec
6) 0.437 sec
7) 0.438 sec
8) 0.437 sec
9) 0.438 sec
10) 0.453 sec
11) 0.422 sec
	File: data/compressed/8.lz775 LZ77
1) 0.391 sec
2) 0.39 sec
3) 0.375 sec
4) 0.391 sec
5) 0.391 sec
6) 0.39 sec
7) 0.391 sec
8) 0.391 sec
9) 0.39 sec
10) 0.391 sec
11) 0.39 sec
	File: data/compressed/9.lz775 LZ77
1) 0.297 sec
2) 0.203 sec
3) 0.204 sec
4) 0.203 sec
5) 0.203 sec
6) 0.203 sec
7) 0.203 sec
8) 0.203 sec
9) 0.203 sec
10) 0.219 sec
11) 0.203 sec
	File: data/compressed/10.lz775 LZ77
1) 0.219 sec
2) 0.344 sec
3) 0.203 sec
4) 0.219 sec
5) 0.203 sec
6) 0.218 sec
7) 0.219 sec
8) 0.219 sec
9) 0.203 sec
10) 0.219 sec
11) 0.219 sec
	File: data/compressed/1.lz7710 LZ77
1) 0.343 sec
2) 0.313 sec
3) 0.312 sec
4) 0.297 sec
5) 0.313 sec
6) 0.312 sec
7) 0.297 sec
8) 0.313 sec
9) 0.312 sec
10) 0.297 sec
11) 0.312 sec
	File: data/compressed/2.lz7710 LZ77
1) 0.5 sec
2) 0.607 sec
3) 0.438 sec
4) 0.437 sec
5) 0.438 sec
6) 0.437 sec
7) 0.438 sec
8) 0.437 sec
9) 0.453 sec
10) 0.438 sec
11) 0.437 sec
	File: data/compressed/3.lz7710 LZ77
1) 0.422 sec
2) 0.672 sec
3) 0.422 sec
4) 0.422 sec
5) 0.453 sec
6) 0.453 sec
7) 0.422 sec
8) 0.422 sec
9) 0.437 sec
10) 0.422 sec
11) 0.422 sec
	File: data/compressed/4.lz7710 LZ77
1) 0.453 sec
2) 0.578 sec
3) 0.422 sec
4) 0.438 sec
5) 0.437 sec
6) 0.438 sec
7) 0.437 sec
8) 0.438 sec
9) 0.437 sec
10) 0.422 sec
11) 0.438 sec
	File: data/compressed/5.lz7710 LZ77
1) 0.312 sec
2) 0.281 sec
3) 0.297 sec
4) 0.297 sec
5) 0.281 sec
6) 0.297 sec
7) 0.297 sec
8) 0.297 sec
9) 0.281 sec
10) 0.297 sec
11) 0.297 sec
	File: data/compressed/6.lz7710 LZ77
1) 0.469 sec
2) 1.062 sec
3) 0.453 sec
4) 0.438 sec
5) 0.469 sec
6) 0.437 sec
7) 0.438 sec
8) 0.437 sec
9) 0.438 sec
10) 0.437 sec
11) 0.453 sec
	File: data/compressed/7.lz7710 LZ77
1) 0.453 sec
2) 0.844 sec
3) 0.422 sec
4) 0.437 sec
5) 0.422 sec
6) 0.438 sec
7) 0.437 sec
8) 0.422 sec
9) 0.438 sec
10) 0.422 sec
11) 0.437 sec
	File: data/compressed/8.lz7710 LZ77
1) 0.406 sec
2) 0.375 sec
3) 0.375 sec
4) 0.375 sec
5) 0.36 sec
6) 0.375 sec
7) 0.359 sec
8) 0.375 sec
9) 0.375 sec
10) 0.375 sec
11) 0.359 sec
	File: data/compressed/9.lz7710 LZ77
1) 0.219 sec
2) 0.203 sec
3) 0.203 sec
4) 0.204 sec
5) 0.203 sec
6) 0.203 sec
7) 0.203 sec
8) 0.203 sec
9) 0.203 sec
10) 0.203 sec
11) 0.203 sec
	File: data/compressed/10.lz7710 LZ77
1) 0.266 sec
2) 0.468 sec
3) 0.219 sec
4) 0.203 sec
5) 0.219 sec
6) 0.219 sec
7) 0.219 sec
8) 0.203 sec
9) 0.218 sec
10) 0.219 sec
11) 0.203 sec
	File: data/compressed/1.lz7720 LZ77
1) 0.36 sec
2) 0.297 sec
3) 0.312 sec
4) 0.297 sec
5) 0.297 sec
6) 0.297 sec
7) 0.312 sec
8) 0.344 sec
9) 0.359 sec
10) 0.313 sec
11) 0.297 sec
	File: data/compressed/2.lz7720 LZ77
1) 0.453 sec
2) 0.75 sec
3) 0.422 sec
4) 0.437 sec
5) 0.422 sec
6) 0.438 sec
7) 0.421 sec
8) 0.438 sec
9) 0.422 sec
10) 0.437 sec
11) 0.422 sec
	File: data/compressed/3.lz7720 LZ77
1) 0.516 sec
2) 0.844 sec
3) 0.406 sec
4) 0.422 sec
5) 0.406 sec
6) 0.422 sec
7) 0.406 sec
8) 0.422 sec
9) 0.406 sec
10) 0.422 sec
11) 0.406 sec
	File: data/compressed/4.lz7720 LZ77
1) 0.453 sec
2) 1.157 sec
3) 0.422 sec
4) 0.421 sec
5) 0.422 sec
6) 0.422 sec
7) 0.422 sec
8) 0.422 sec
9) 0.406 sec
10) 0.422 sec
11) 0.422 sec
	File: data/compressed/5.lz7720 LZ77
1) 0.281 sec
2) 0.297 sec
3) 0.281 sec
4) 0.282 sec
5) 0.281 sec
6) 0.281 sec
7) 0.281 sec
8) 0.282 sec
9) 0.281 sec
10) 0.281 sec
11) 0.281 sec
	File: data/compressed/6.lz7720 LZ77
1) 0.422 sec
2) 0.422 sec
3) 0.422 sec
4) 0.422 sec
5) 0.422 sec
6) 0.422 sec
7) 0.422 sec
8) 0.422 sec
9) 0.422 sec
10) 0.437 sec
11) 0.422 sec
	File: data/compressed/7.lz7720 LZ77
1) 0.422 sec
2) 0.422 sec
3) 0.422 sec
4) 0.422 sec
5) 0.406 sec
6) 0.422 sec
7) 0.406 sec
8) 0.422 sec
9) 0.422 sec
10) 0.422 sec
11) 0.406 sec
	File: data/compressed/8.lz7720 LZ77
1) 0.343 sec
2) 0.36 sec
3) 0.359 sec
4) 0.344 sec
5) 0.359 sec
6) 0.344 sec
7) 0.359 sec
8) 0.344 sec
9) 0.359 sec
10) 0.344 sec
11) 0.36 sec
	File: data/compressed/9.lz7720 LZ77
1) 0.203 sec
2) 0.218 sec
3) 0.204 sec
4) 0.203 sec
5) 0.203 sec
6) 0.187 sec
7) 0.203 sec
8) 0.204 sec
9) 0.203 sec
10) 0.187 sec
11) 0.203 sec
	File: data/compressed/10.lz7720 LZ77
1) 0.219 sec
2) 0.203 sec
3) 0.203 sec
4) 0.203 sec
5) 0.203 sec
6) 0.203 sec
7) 0.203 sec
8) 0.219 sec
9) 0.203 sec
10) 0.203 sec
11) 0.204 sec

	-----End-----
